RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
1500,"14""",14,RTJ,16,"2-1/4""",2.25,425,11.68
900,"24""",24,RF,20,"2-1/2""",2.5,440,15.369
900,"24""",24,RTJ,20,"2-1/2""",2.5,445,15.485
1500,"16""",16,RF,16,"2-1/2""",2.5,445,15.485
1500,"16""",16,RTJ,16,"2-1/2""",2.5,470,16.086
2500,"10""",10,RF,12,"2-1/2""",2.5,490,16.534
2500,"10""",10,RTJ,12,"2-1/2""",2.5,510,17
1500,"18""",18,RF,16,"2-3/4""",2.75,495,20.546
1500,"18""",18,RTJ,16,"2-3/4""",2.75,525,21.335
2500,"12""",12,RF,12,"2-3/4""",2.75,540,21.7295
2500,"12""",12,RTJ,12,"2-3/4""",2.75,560,22.2555
1500,"20""",20,RF,16,"3""",3,540,26.38
1500,"20""",20,RTJ,16,"3""",3,565,27.2275
1500,"24""",24,RF,16,"3-1/2""",3.5,615,42.167
1500,"24""",24,RTJ,16,"3-1/2""",3.5,650,43.819
2500,"14""",14,RF,,,,,
2500,"16""",16,RF,,,,,
2500,"18""",18,RF,,,,,
2500,"20""",20,RF,,,,,
2500,"24""",24,RF,,,,,
2500,"14""",14,RTJ,,,,,
2500,"16""",16,RTJ,,,,,
2500,"18""",18,RTJ,,,,,
2500,"20""",20,RTJ,,,,,
2500,"24""",24,RTJ,,,,,
,,,,,"1""",1,150,0.89
,,,,,"1-1/8""",1.125,210,1.439
,,,,,"7/8""",0.875,180,0.733
,,,,,"7/8""",0.875,175,0.72
,,,,,"7/8""",0.875,155,0.669
,,,,,"1-1/8""",1.125,200,1.396
,,,,,"7/8""",0.875,160,0.681
