RATING,DIAMETER,DIAMETER_NUMBER,FACE,QUANTITY,BOLT_DIAMETER,BOLT_DIAM_NUM,BOLT_LENGTH,BOLT_WEIGHT
900,"16""",16,RF,20,"1-5/8""",1.625,300,1.439
900,"18""",18,RF,20,"1-7/8""",1.875,335,1.439
900,"20""",20,RF,20,"2""",2,355,1.439
900,"24""",24,RF,20,"2-1/2""",2.5,445,1.461
900,"1/2""",0.5,RTJ,4,"3/4""",0.75,110,1.526
900,"3/4""",0.75,RTJ,4,"3/4""",0.75,115,1.548
900,"1""",1,RTJ,4,"7/8""",0.875,125,1.548
900,"1-1/2""",1.5,RTJ,4,"1""",1,140,1.548
900,"2""",2,RTJ,8,"7/8""",0.875,145,1.569
900,"3""",3,RTJ,8,"7/8""",0.875,160,1.569
900,"4""",4,RTJ,8,"1-1/8""",1.125,190,2.16
900,"6""",6,RTJ,12,"1-1/8""",1.125,210,2.194
900,"8""",8,RTJ,12,"1-3/8""",1.375,240,2.26
900,"10""",10,RTJ,16,"1-3/8""",1.375,255,2.293
900,"12""",12,RTJ,20,"1-3/8""",1.375,275,2.327
900,"14""",14,RTJ,20,"1-1/2""",1.5,300,2.36
900,"16""",16,RTJ,20,"1-5/8""",1.625,305,2.36
900,"18""",18,RTJ,20,"1-7/8""",1.875,350,2.46
900,"20""",20,RTJ,20,"2""",2,370,2.46
900,"24""",24,RTJ,20,"2-1/2""",2.5,465,2.493
1500,"1/2""",0.5,RF,4,"3/4""",0.75,120,2.559
1500,"3/4""",0.75,RF,4,"3/4""",0.75,125,2.559
1500,"1""",1,RF,4,"7/8""",0.875,140,2.593
1500,"1-1/2""",1.5,RF,4,"1""",1,150,2.593
1500,"2""",2,RF,8,"7/8""",0.875,160,2.659
1500,"3""",3,RF,8,"1-1/8""",1.125,190,2.726
1500,"4""",4,RF,8,"1-1/4""",1.25,210,2.726
1500,"6""",6,RF,12,"1-3/8""",1.375,275,2.759
1500,"8""",8,RF,12,"1-5/8""",1.625,305,3.265
1500,"10""",10,RF,12,"1-7/8""",1.875,350,3.265
1500,"12""",12,RF,16,"2""",2,385,3.345
1500,"14""",14,RF,16,"2-1/4""",2.25,420,3.385
1500,"16""",16,RF,16,"2-1/2""",2.5,455,3.425
1500,"18""",18,RF,16,"2-3/4""",2.75,495,3.545
1500,"20""",20,RF,16,"3""",3,545,3.846
1500,"24""",24,RF,16,"3-1/2""",3.5,620,3.988
1500,"1/2""",0.5,RTJ,4,"3/4""",0.75,120,4.178
1500,"3/4""",0.75,RTJ,4,"3/4""",0.75,125,4.225
1500,"1""",1,RTJ,4,"7/8""",0.875,140,4.32
1500,"1-1/2""",1.5,RTJ,4,"1""",1,150,4.367
1500,"2""",2,RTJ,8,"7/8""",0.875,160,4.367
1500,"3""",3,RTJ,8,"1-1/8""",1.125,195,4.367
1500,"4""",4,RTJ,8,"1-1/4""",1.25,215,4.367
1500,"6""",6,RTJ,12,"1-3/8""",1.375,280,4.415
1500,"8""",8,RTJ,12,"1-5/8""",1.625,310,6.478
1500,"10""",10,RTJ,12,"1-7/8""",1.875,355,6.478
1500,"12""",12,RTJ,16,"2""",2,400,6.67
1500,"14""",14,RTJ,16,"2-1/4""",2.25,440,6.67
1500,"16""",16,RTJ,16,"2-1/2""",2.5,475,6.67
1500,"18""",18,RTJ,16,"2-3/4""",2.75,525,6.734
1500,"20""",20,RTJ,16,"3""",3,565,7.847
1500,"24""",24,RTJ,16,"3-1/2""",3.5,650,7.847
2500,"1/2""",0.5,RF,4,"3/4""",0.75,135,8.066
2500,"3/4""",0.75,RF,4,"3/4""",0.75,140,8.066
2500,"1""",1,RF,4,"7/8""",0.875,150,8.265
2500,"1-1/2""",1.5,RF,4,"1-1/8""",1.125,185,8.431
2500,"2""",2,RF,8,"1""",1,190,8.504
2500,"3""",3,RF,8,"1-1/4""",1.25,235,8.577
2500,"4""",4,RF,8,"1-1/2""",1.5,265,11.586
2500,"6""",6,RF,8,"2""",2,355,11.96
